"kegg_id","Gene_Name","Pathway"
"K10543","xylF","xylose_transport"
"K10544","xylH","xylose_transport"
"K10545","xylG","xylose_transport"
"K17326","bxlE","xylose_transport"
"K17327","bxlF","xylose_transport"
"K17328","bxlG","xylose_transport"
"K10439","rbsB","xylose_transport"
"K10440","rbsC","xylose_transport"
"K10441","rbsA","xylose_transport"
"K06727","rbsD","xylose_transport"
"K01805","xylA","xylose_metabolism"
"K00854","xylB","xylose_metabolism"
"K00008","K00008","xylose_metabolism"
"K05351","K05351","xylose_metabolism"
"K17743","xyl1","xylose_metabolism"
"K26066","xyrB","xylose_metabolism"
"K01621","xfp","xylose_metabolism"
"K10537","araF","arabinose_transport"
"K10538","araH","arabinose_transport"
"K10539","araG","arabinose_transport"
"K17234","araN","arabinose_transport"
"K17235","araP","arabinose_transport"
"K17236","araQ","arabinose_transport"
"K10112","msmX","arabinose_transport"
"K25062","abnE","arabinose_transport"
"K25063","abnF","arabinose_transport"
"K25064","abnJ","arabinose_transport"
"K10188","lacE","arabinose_transport"
"K10189","lacF","arabinose_transport"
"K10190","lacG","arabinose_transport"
"K10191","lacK","arabinose_transport"
"K01804","araA","arabinose_metabolism"
"K00853","araB","arabinose_metabolism"
"K12446","L-arabinokinase","arabinose_metabolism"
"K25315","D-arabinokinase","arabinose_metabolism"
"K01818","fucI","fucose_metabolism"
"K02431","fucM","fucose_metabolism"
"K00879","fucK","fucose_metabolism"
"K01628","fucA","fucose_metabolism"
"K20263","fusK","fucose_metabolism"
"K02770","fruA","mannose_metabolism"
"K00882","fruK","mannose_metabolism"
"K01624","fba","mannose_metabolism"
"K01785","galM","galactose_metabolism"
"K01784","galE","galactose_metabolism"
"K00849","galK","galactose_metabolism"
"K00965","galT","galactose_metabolism"
"K01812","uxaC","glucuronate_degradation"
"K00040","uxuB","glucuronate_degradation"
"K01686","uxuA","glucuronate_degradation"
"K08323","rspA","glucuronate_degradation"
"K00874","kdgK","glucuronate_degradation"
"K00002","Akr1a1","glucuronate_degradation"
"K13247","cryL1","glucuronate_degradation"
"K28954","K28954","glucuronate_degradation"
"K03331","dcxr","glucuronate_degradation"
"K25879","lxrA","glucuronate_degradation"
"K28606","lxr3","glucuronate_degradation"
"K21619","uxaE","glucuronate_degradation"
"K00041","uxaB","glucuronate_degradation"
"K01685","uxaA","glucuronate_degradation"
"K03412","cheB","glucuronate_degradation"
"K00010","iolG","inositol_pathway"
"K03335","iolE","inositol_pathway"
"K03338","iolC","inositol_pathway"
"K03336","iolD","inositol_pathway"
"K03337","iolB","inositol_pathway"
