"locus_tag","gene","protein_id","kegg_id_kegg","kegg_id_eggnog","kegg_id_koala","dbcan_family","cayman_family","kegg_consensus"
"I5Q87_00005",NA,"QQR26381.1",NA,NA,NA,NA,NA,NA
"I5Q87_00010",NA,"QQR26382.1",NA,NA,NA,NA,NA,NA
"I5Q87_00015",NA,"QQR26383.1",NA,"K04763,K07486,K14059",NA,NA,NA,"K04763,K07486,K14059"
"I5Q87_00020",NA,"QQR26384.1",NA,NA,NA,NA,NA,NA
"I5Q87_00025",NA,"QQR26385.1",NA,NA,NA,NA,NA,NA
"I5Q87_00030",NA,"QQR26386.1",NA,NA,NA,NA,NA,NA
"I5Q87_00035",NA,"QQR26387.1","K02040","K02040","K02040",NA,NA,"K02040"
"I5Q87_00040","pstC","QQR26388.1","K02037","K02037","K02037",NA,NA,"K02037"
"I5Q87_00045","pstA","QQR26389.1","K02038","K02038","K02038",NA,NA,"K02038"
"I5Q87_00050",NA,"QQR26390.1","K02036","K02036","K02036",NA,NA,"K02036"
"I5Q87_00055","phoU","QQR26391.1","K02039","K02039","K02039",NA,NA,"K02039"
"I5Q87_00060",NA,"QQR26392.1","K03324","K03324","K03324",NA,NA,"K03324"
"I5Q87_00065","ybeY","QQR26393.1","K07042","K07042","K07042",NA,NA,"K07042"
"I5Q87_00070",NA,"QQR26394.1",NA,"K00887",NA,NA,NA,"K00887"
"I5Q87_00075","cdd","QQR26395.1","K01489","K01489","K01489",NA,NA,"K01489"
"I5Q87_00080","era","QQR26396.1","K03595","K03595","K03595",NA,NA,"K03595"
"I5Q87_00085","recO","QQR26397.1","K03584","K03584","K03584",NA,NA,"K03584"
"I5Q87_00090",NA,"QQR26398.1","K01880","K01880","K01880",NA,NA,"K01880"
"I5Q87_00095","dnaG","QQR26399.1","K02316","K02316","K02316",NA,NA,"K02316"
"I5Q87_00100","rpoD","QQR26400.1","K03086","K03086","K03086",NA,NA,"K03086"
"I5Q87_00105",NA,"QQR26401.1","K06967","K06967","K06967",NA,NA,"K06967"
"I5Q87_00110",NA,"QQR26402.1",NA,"K03574",NA,NA,NA,"K03574"
"I5Q87_00115","ispH","QQR26403.1","K03527","K03527","K03527",NA,NA,"K03527"
"I5Q87_00120",NA,"QQR26404.1","K18692","K18692","K18692",NA,NA,"K18692"
"I5Q87_00125",NA,"QQR26405.1","K01151","K01151","K01151",NA,NA,"K01151"
"I5Q87_00130",NA,"QQR26406.1",NA,"K06889",NA,NA,NA,"K06889"
"I5Q87_00135","ispG","QQR26407.1","K03526","K03526","K03526",NA,NA,"K03526"
"I5Q87_00140",NA,"QQR26408.1","K21465","K21465",NA,NA,NA,"K21465"
"I5Q87_00145","rpmG","QQR26409.1","K02913","K02913","K02913",NA,NA,"K02913"
"I5Q87_00150",NA,"QQR26410.1","K01069","K01069",NA,NA,NA,"K01069"
"I5Q87_00155",NA,"QQR26411.1",NA,"K22441",NA,NA,NA,"K22441"
"I5Q87_00160","tadA","QQR26412.1","K02243","K02243","K02243",NA,NA,"K02243"
"I5Q87_00165",NA,"QQR28328.1",NA,"K02244",NA,NA,NA,"K02244"
"I5Q87_00170",NA,"QQR26413.1","K02245","K02245","K02245",NA,NA,"K02245"
"I5Q87_00175",NA,"QQR26414.1",NA,"K02246","K02246",NA,NA,"K02246"
"I5Q87_00180",NA,"QQR26415.1",NA,NA,NA,NA,NA,NA
"I5Q87_00185",NA,"QQR26416.1",NA,"K02247","K02248",NA,NA,"K02248"
"I5Q87_00190",NA,"QQR26417.1",NA,NA,NA,NA,NA,NA
"I5Q87_00195",NA,"QQR26418.1",NA,NA,NA,NA,NA,NA
"I5Q87_00200","efp","QQR26419.1","K02356","K02356","K02356",NA,NA,"K02356"
"I5Q87_00205",NA,"QQR26420.1",NA,NA,NA,NA,NA,NA
"I5Q87_00210",NA,"QQR26421.1","K00945","K00945","K00945",NA,NA,"K00945"
"I5Q87_00215","der","QQR26422.1","K03977","K03977","K03977",NA,NA,"K03977"
"I5Q87_00220",NA,"QQR26423.1","K00057","K00057","K00057",NA,NA,"K00057"
"I5Q87_00225",NA,"QQR26424.1","K02837","K02837","K02837",NA,NA,"K02837"
"I5Q87_00230",NA,"QQR26425.1",NA,"K02192",NA,NA,NA,"K02192"
"I5Q87_00235","spoIVA","QQR26426.1","K06398","K06398","K06398",NA,NA,"K06398"
"I5Q87_00240",NA,"QQR26427.1","K03530","K03530","K03530",NA,NA,"K03530"
